,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
64,2000,5,Jacksonville Jaguars,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 1,1:03PM,24,13,332,3,206,2,Jaguars,Jacksonville,Steelers,Pittsburgh
65,2000,5,Cincinnati Bengals,Miami Dolphins,Miami Dolphins,,Sun,October 1,4:05PM,31,16,302,2,350,1,Bengals,Cincinnati,Dolphins,Miami
66,2000,5,Denver Broncos,New England Patriots,New England Patriots,,Sun,October 1,4:06PM,28,19,314,1,405,2,Broncos,Denver,Patriots,New England
67,2000,5,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,,Sun,October 1,4:15PM,27,20,345,1,365,2,49ers,San Francisco,Cardinals,Arizona
68,2000,5,Green Bay Packers,Chicago Bears,Chicago Bears,,Sun,October 1,4:15PM,27,24,370,0,364,3,Packers,Green Bay,Bears,Chicago
69,2000,5,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,,Sun,October 1,4:15PM,20,17,330,1,255,2,Redskins,Washington,Buccaneers,Tampa Bay
70,2000,5,Philadelphia Eagles,Atlanta Falcons,Philadelphia Eagles,,Sun,October 1,8:36PM,38,10,502,3,200,1,Eagles,Philadelphia,Falcons,Atlanta
71,2000,5,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,,Mon,October 2,9:00PM,24,17,378,0,289,2,Chiefs,Kansas City,Seahawks,Seattle
72,2000,6,Cincinnati Bengals,Tennessee Titans,Tennessee Titans,,Sun,October 8,1:00PM,23,14,417,2,213,2,Bengals,Cincinnati,Titans,Tennessee
73,2000,6,New York Jets,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 8,1:01PM,20,3,330,0,206,4,Jets,New York,Steelers,Pittsburgh
74,2000,6,Detroit Lions,Green Bay Packers,Detroit Lions,,Sun,October 8,1:01PM,31,24,253,1,339,5,Lions,Detroit,Packers,Green Bay
75,2000,6,New England Patriots,Indianapolis Colts,New England Patriots,,Sun,October 8,1:02PM,24,16,301,0,408,3,Patriots,New England,Colts,Indianapolis
76,2000,6,Miami Dolphins,Buffalo Bills,Miami Dolphins,,Sun,October 8,1:02PM,22,13,254,1,254,2,Dolphins,Miami,Bills,Buffalo
77,2000,6,Philadelphia Eagles,Washington Redskins,Washington Redskins,,Sun,October 8,1:02PM,17,14,407,2,274,4,Eagles,Philadelphia,Redskins,Washington
